model,training_samples,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,f2,roc_auc,average_precision,matthews_correlation,lift_at_10_percent,true_negative,false_positive,false_negative,true_positive,business_cost,cost_per_1000,flagged_samples,training_seconds,inference_seconds,mean_normal_reconstruction_fidelity,mean_anomaly_reconstruction_fidelity,reconstruction_fidelity_gap
isolation_forest,475,0.46,0.8444444444444444,0.8722669735327964,0.43478260869565216,0.9090909090909091,0.8354430379746836,0.5882352941176471,0.746268656716418,0.9312428078250863,0.6495481402339799,0.5591046098866658,5.000000000000001,132,26,2,20,36.0,200.0,46,0.45176810099997056,0.03614076200005911,,,
pca_autoencoder,475,0.025,0.9944444444444445,0.9772727272727273,1.0,0.9545454545454546,1.0,0.9767441860465116,0.963302752293578,1.0,0.9999999999999999,0.97393122139796,8.181818181818182,158,0,1,21,5.0,27.777777777777775,21,0.0007658019999325916,0.0005910279999170598,,,
quantum_autoencoder,250,0.27,0.8444444444444444,0.852704257767549,0.4318181818181818,0.8636363636363636,0.8417721518987342,0.5757575757575758,0.7196969696969697,0.928078250863061,0.6738813163605362,0.5376316031048542,5.000000000000001,133,25,3,19,40.0,222.2222222222222,44,0.2690644629999497,0.004082722000021022,0.8403752482955316,0.39236457486459475,0.4480106734309368
