evaluation,trash_loss
1,0.7605799499002993
2,0.7661282430624505
3,0.7610089205825823
4,0.8175697278758834
5,0.7614593743316909
6,0.7733427343512796
7,0.7615213530047262
8,0.7788485914609482
9,0.7603331552662597
10,0.7619952454314207
11,0.760034170301074
12,0.8304088526298946
13,0.7598415186551325
14,0.7598415186551326
15,0.7598415186551325
16,0.825413097414536
17,0.7598415186551325
18,0.7628263969914757
19,0.7598415186551325
20,0.6376547833014703
21,0.5057130687482575
22,0.6021640246579292
23,0.5009911475586896
24,0.432405862931049
25,0.48809816808764406
26,0.4369038744321977
27,0.4431916448745741
28,0.42649676047847557
29,0.43607336053712237
30,0.41512797929263506
31,0.3616922134439832
32,0.37042151564362813
33,0.37458152948663415
34,0.3696676125769633
35,0.37924260856873926
36,0.38206272106375083
37,0.34639154469872496
38,0.4326025268526437
39,0.3139766724421491
40,0.32123675727400586
41,0.34999839093075064
42,0.3155501036129681
43,0.33703574003650283
44,0.29351930408182775
45,0.3467853575743514
46,0.2935193040818277
47,0.28610554203788613
48,0.27879874549183403
49,0.3043166136435838
50,0.2878361446066982
51,0.34697306286771246
52,0.28948630514493573
53,0.2845896976893782
54,0.2742427550601116
55,0.26105566342292524
56,0.25633681692934746
57,0.3071645372219072
58,0.2771359622976642
59,0.2756018898668529
60,0.2891875665101887
61,0.25270874377117736
62,0.3080340394919615
63,0.26583590205794716
64,0.24214661026847273
65,0.3046138547594409
66,0.22889615297734223
67,0.274011887976887
68,0.23974835953326784
69,0.18897578434077597
70,0.20904163560387135
71,0.22078925686370024
72,0.1703659371595059
73,0.18675097654312353
74,0.17100037707924803
75,0.21248918272272704
76,0.17258149942878465
77,0.17812236222233574
78,0.185331223025684
79,0.19256435174458322
80,0.1715185561833344
81,0.2019981982258687
82,0.18514038362700622
83,0.19028746105675082
84,0.1908183675314345
85,0.24216553923646109
86,0.18853871573343833
87,0.18734354075729037
88,0.17053067354196272
89,0.16809972920967986
90,0.1693765957655742
91,0.16797540729740576
92,0.17206617774406016
93,0.16798009771625874
94,0.16351185544923003
95,0.15988909207531035
96,0.15847913634756705
97,0.15800209986350125
98,0.15931239651077828
99,0.15914828770352624
100,0.15721875091513066
