model,anomaly_type,samples,mean_raw_anomaly_score,mean_normalized_anomaly_score,flagged_rate,mean_reconstruction_fidelity
pca_autoencoder,normal,158,0.03450342437880291,0.0034504476582166905,0.0,
pca_autoencoder,sensor_spike,6,2.234884796471372,0.23645782813784474,1.0,
pca_autoencoder,process_drift,3,0.6240575899817805,0.06588074884158063,1.0,
pca_autoencoder,correlation_break,8,0.5435112177144702,0.05735136414164808,0.875,
pca_autoencoder,stuck_sensor,5,9.684908072740347,0.9293360767667984,1.0,
isolation_forest,normal,158,0.47411171363058124,0.2729993043823818,0.16455696202531644,
isolation_forest,sensor_spike,6,0.5339804303072825,0.5738705077692413,0.8333333333333334,
isolation_forest,process_drift,3,0.5735915378000703,0.7729367687549106,1.0,
isolation_forest,correlation_break,8,0.5445777245490673,0.6271273812777938,0.875,
isolation_forest,stuck_sensor,5,0.58478690818999,0.8291992836133197,1.0,
quantum_autoencoder,normal,158,0.15962475170446846,0.15549447838914246,0.15822784810126583,0.8403752482955316
quantum_autoencoder,sensor_spike,6,0.5286023955259785,0.5409908974373482,1.0,0.4713976044740214
quantum_autoencoder,process_drift,3,0.43046656963485663,0.4384616247433469,0.6666666666666666,0.5695334303651433
quantum_autoencoder,correlation_break,8,0.5283559311887395,0.5407333991281152,0.75,0.47164406881126053
quantum_autoencoder,stuck_sensor,5,0.9356235642817115,0.9652010529867543,1.0,0.06437643571828841
